Kalkulationsstruktur,Preiseinheit,ME,     Preis,Kalkulationslosgrî·e, Menge,BWME,Wert Gesamt,WÑhrung,Ressource,Fehlerstatus,Preisstrategie (Text),Kostenart (Text),Kennzeichen Baugruppe
Kugel  6mm G28,1,ST,0.1,0,8,ST,0.76,CHF,CH10 10061163,,Preis aus Einkaufsinfosatz,Zukaufteile,
Feder  YCMS55-M3,1,ST,3.81,0,1,ST,3.81,CHF,CH10 10082354,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung  FPM 20.8x16.4x2.1,1,ST,13.25,0,1,ST,13.25,CHF,CH10 10118310,,Preis aus Einkaufsinfosatz,Zukaufteile,
O-Ring  ID35.00x1.50 NBR 70.5/P5,1,ST,0.15,0,1,ST,0.15,CHF,CH10 3144937,,Preis aus Einkaufsinfosatz,Zukaufteile,
Montage Takt 3 Modul Base,1,H,93.63,0,0.4,H,37.45,CHF,210508     21050808 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Platte,1,ST,373.93,10,1,ST,373.93,CHF,CH10 10178508,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,1.75,H,139.46,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Alu-Zuschnitt  100x160x342 AlSi1MgMn,1,ST,134.25,0,1,ST,134.25,CHF,CH10 10067448,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.075,H,4.5,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Handarbeit MANDELLI, 100% SichtprÅfung",1,H,62.41,0,0,H,0,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Handarbeit MANDELLI, 100% SichtprÅfung",1,H,62.41,0,0.2,H,12.48,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.25,H,25.47,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,10.47,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,47.3,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Schiene,1,ST,15.67,0,2,ST,31.33,CHF,CH10 10113962,,Preis aus Einkaufsinfosatz,Zukaufteile,
Leitblech,1,ST,11.36,0,1,ST,11.36,CHF,CH10 10139829,,Preis aus Einkaufsinfosatz,Zukaufteile,
Leitblech,1,ST,15.08,0,1,ST,15.08,CHF,CH10 10139830,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,1.16,0,1,ST,1.16,CHF,CH10 10077645,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.65,0,1,ST,1.65,CHF,CH10 10067160,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.55,0,1,ST,1.55,CHF,CH10 10087459,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.15,0,1,ST,1.15,CHF,CH10 10077647,,Preis aus Einkaufsinfosatz,Zukaufteile,
Print  sscCapacitiveConn,1,ST,11.61,0,1,ST,11.61,CHF,CH10 10084848,,Preis aus Einkaufsinfosatz,Zukaufteile,
Potentiometer  HotPot,1,ST,25.44,0,1,ST,25.44,CHF,CH10 10082791,,Bewertungspreis mit USER-EXIT,Zukaufteile,
FÅhrungsschiene  R0445,1,ST,16.42,0,2,ST,32.84,CHF,CH10 10083222,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlauchsatz  Modul basic,1,ST,38.63,0,1,ST,38.63,CHF,CH10 10171188,,Preis aus Einkaufsinfosatz,Zukaufteile,
Montage Takt 4 Modul Optical kpl.,1,H,93.63,0,0.4,H,37.45,CHF,210508     21050809 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
GehÑuse,1,ST,73.13,20,1,ST,73.13,CHF,CH10 10132295,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,0.53,H,42.24,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Flach-Al  80x50 AlMg4.5Mn0.7,1,MM,0.08,0,140,MM,11.2,CHF,CH10 10081958,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.038,H,2.25,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.039,H,3.97,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.87,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,12.6,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung,1,ST,6.15,20,1,ST,6.15,CHF,CH10 10077660,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.007,H,0.73,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.99,0,0.007,M2,0.2,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.039,H,3.97,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.02,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.22,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
GehÑuse,1,ST,6.4,0,1,ST,6.4,CHF,CH10 10090661,,Preis aus Einkaufsinfosatz,Zukaufteile,
Bolzen,1,ST,7.13,0,1,ST,7.13,CHF,CH10 10090662,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Leitblech,1,ST,4.49,40,1,ST,4.49,CHF,CH10 10143980,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.008,H,0.83,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  1.0x1000x2000 AlMg1 HH14,1,M2,10.2,0,0.002,M2,0.02,CHF,CH10 1050201,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.004,H,0.27,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.02,H,1.42,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.01,H,1.02,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.92,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Klappe,1,ST,14.18,0,1,ST,14.18,CHF,CH10 10117067,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter,1,ST,17.86,0,1,ST,17.86,CHF,CH10 10117066,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Dichtung,1,ST,2.12,0,1,ST,2.12,CHF,CH10 10121783,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,5.75,0,1,ST,5.75,CHF,CH10 10083320,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,0.9,0,1,ST,0.9,CHF,CH10 10095506,,Preis aus Einkaufsinfosatz,Zukaufteile,
Winkeleinschraubanschluss,1,ST,38.33,0,2,ST,76.66,CHF,CH10 10114260,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Print  sscLensDrive kpl.,1,ST,514.57,0,1,ST,514.57,CHF,CH10 10149361,,Preis aus Einkaufsinfosatz,Zukaufteile,
Montage Takt 5 Komb. Mod. Opt. kpl.+Base,1,H,93.63,0,0.4,H,37.45,CHF,210508     21050810 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Verbindung,1,ST,9.91,0,1,ST,9.91,CHF,CH10 10139831,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,1.65,0,1,ST,1.65,CHF,CH10 10096992,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,5.57,0,1,ST,5.57,CHF,CH10 10113949,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,2.89,0,1,ST,2.89,CHF,CH10 10113948,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,0.95,0,1,ST,0.95,CHF,CH10 10095507,,Preis aus Einkaufsinfosatz,Zukaufteile,
Print  sscController kpl.,1,ST,225.65,0,1,ST,225.65,CHF,CH10 10176432,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Spiralfeder  SF 63 / 80 / 20,1,ST,20.55,0,1,ST,20.55,CHF,CH10 10126765,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Halter,1,ST,17.04,0,1,ST,17.04,CHF,CH10 10116002,,Bewertungspreis mit USER-EXIT,Zukaufteile,
DÅse  õ3,1,ST,1.05,0,1,ST,1.05,CHF,CH10 10116004,,Preis aus Einkaufsinfosatz,Zukaufteile,
PrÅfen Takt 6 M&F / SSC kpl.,1,H,93.63,0,0.4,H,37.45,CHF,210508     21050811 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
PrÅfen Takt 7 Endjustieren,1,H,93.63,0,0.4,H,37.45,CHF,210508     21050811 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Blech,1,ST,1.86,0,1,ST,1.86,CHF,CH10 10087455,,Preis aus Einkaufsinfosatz,Zukaufteile,
Teilereinigung DöRR,1,H,101.89,0,0.5,H,50.95,CHF,210507     21050109 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Halter,1,ST,154.91,0,1,ST,154.91,CHF,CH10 10142194,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter,1,ST,73.94,0,1,ST,73.94,CHF,CH10 10142155,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blende,1,ST,200.34,0,1,ST,200.34,CHF,CH10 10157846,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Ring,1,ST,2.58,0,1,ST,2.58,CHF,CH10 10077665,,Preis aus Einkaufsinfosatz,Zukaufteile,
Mutter,1,ST,8.42,0,1,ST,8.42,CHF,CH10 10077664,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,2.94,0,1,ST,2.94,CHF,CH10 10090819,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,4.08,0,1,ST,4.08,CHF,CH10 10077671,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schutzblech,1,ST,6.4,0,1,ST,6.4,CHF,CH10 10142154,,Preis aus Einkaufsinfosatz,Zukaufteile,
HÅlse  ZBH-5,1,ST,0.77,0,2,ST,1.53,CHF,CH10 10142337,,Preis aus Einkaufsinfosatz,Zukaufteile,
Sockel,1,ST,58.55,0,1,ST,58.55,CHF,CH10 10126113,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlitten,1,ST,249.81,10,1,ST,249.81,CHF,CH10 10144711,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabr. Zuschnitt 160mm zusÑgen,1,H,57.29,0,0.016,H,0.92,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabr. Zuschnitt 160mm zusÑgen,1,H,57.29,0,0.05,H,2.87,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
4kt-Alu  125 /125 EN AW-Al Si1MgMn,"       1,000",MM,324.63,0,180,MM,58.43,CHF,CH10 1101910,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,1.6,H,127.5,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.075,H,4.5,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mechanik Handarbeit,1,H,62.41,0,0,H,0,CHF,21033404   21033404 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mechanik Handarbeit,1,H,62.41,0,0.2,H,12.48,CHF,21033404   21033404 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,4.56,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,38.55,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
GehÑuse,1,ST,106.54,20,1,ST,106.54,CHF,CH10 10153231,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabr. Hermle C32 U,1,H,80,0,0,H,0,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabr. Hermle C32 U,1,H,80,0,0.8,H,64,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Alu-Zuschnitt  100x50x130 AlSi1MgMn,1,ST,14.1,0,1,ST,14.1,CHF,CH10 10169539,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.038,H,2.25,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Handarbeit Hermle 100% SichtprÅfung,1,H,62.41,0,0,H,0,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Handarbeit Hermle 100% SichtprÅfung,1,H,62.41,0,0.1,H,6.24,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,1.1,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,18.85,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
GehÑuse,1,ST,130,0,1,ST,130,CHF,CH10 10122890,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Klotz,1,ST,13.63,0,1,ST,13.63,CHF,CH10 10115052,,Preis aus Einkaufsinfosatz,Zukaufteile,
Klotz,1,ST,15.07,120,1,ST,15.07,CHF,CH10 10113744,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,0.1,H,7.97,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
4kt-Alu  30/30 EN AW-Al Si1MgMn,"       1,000",MM,33.88,0,47,MM,1.59,CHF,CH10 1101830,,Preis aus Einkaufsinfosatz,Rohmaterial,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.006,H,0.37,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Handarbeit MANDELLI, 100% SichtprÅfung",1,H,62.41,0,0,H,0,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Handarbeit MANDELLI, 100% SichtprÅfung",1,H,62.41,0,0.017,H,1.06,CHF,21033404   21033406 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Eloxieren Aloxyd,100,ST,150,0,1,ST,1.5,CHF,2004260    5500007443 CH10,,Nettoangebotspreis,Fremdleistungen,
Zuschlag MGK,,,0,,,,0.12,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.45,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Rohr,1,ST,193.06,0,1,ST,193.06,CHF,CH10 10127848,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Schlitten,1,ST,61.34,0,1,ST,61.34,CHF,CH10 10133701,,Preis aus Einkaufsinfosatz,Zukaufteile,
GehÑuse,1,ST,1071.94,0,1,ST,1071.94,CHF,CH10 10148205,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter,1,ST,35.52,0,1,ST,35.52,CHF,CH10 10125493,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter,1,ST,19.06,0,1,ST,19.06,CHF,CH10 10125494,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Halter,1,ST,16.68,0,1,ST,16.68,CHF,CH10 10125495,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter,1,ST,23.41,0,1,ST,23.41,CHF,CH10 10125496,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Deckel,1,ST,61.37,20,1,ST,61.37,CHF,CH10 10113725,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fertigung Hermle C32 U,1,H,80,0,0.005,H,0.4,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fertigung Hermle C32 U,1,H,80,0,0.4,H,32,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Alu-Zuschnitt  90x124x15 PCP 250,1,ST,11.98,0,1,ST,11.98,CHF,CH10 10169547,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.038,H,2.25,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Eloxieren Aloxyd,10,ST,48,0,1,ST,4.8,CHF,2004260    5500007444 CH10,,Nettoangebotspreis,Fremdleistungen,
Zuschlag MGK,,,0,,,,0.93,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,9.01,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Auflage,1,ST,10.53,0,1,ST,10.53,CHF,CH10 10097363,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Blech,1,ST,5.58,0,1,ST,5.58,CHF,CH10 10095620,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter,1,ST,10.22,0,1,ST,10.22,CHF,CH10 10133670,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schutzblech,1,ST,2.99,0,1,ST,2.99,CHF,CH10 10125464,,Preis aus Einkaufsinfosatz,Zukaufteile,
Blech,1,ST,2.58,0,1,ST,2.58,CHF,CH10 10126148,,Preis aus Einkaufsinfosatz,Zukaufteile,
Deckel,1,ST,8.85,0,1,ST,8.85,CHF,CH10 10125465,,Preis aus Einkaufsinfosatz,Zukaufteile,
Material RÅsten,1,H,93.63,0,1,H,93.63,CHF,210508     21050801 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Print  HLC-16 kpl.,1,ST,28.95,5,1,ST,28.95,CHF,CH10 10127502,,,Eigenfertigung,X
,,,,,,,,,,,,,
Montage Prototyp,1,H,74.51,0,0,H,0,CHF,210412     21041205 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Montage Prototyp,1,H,74.51,0,0.25,H,18.63,CHF,210412     21041205 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Print  HLC-16,1,ST,5.08,0,1,ST,5.08,CHF,CH10 10127783,,Preis aus Einkaufsinfosatz,Zukaufteile,
End - RÅckmeldung,1,H,74.51,0,0,H,0,CHF,210412     21041205 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
End - RÅckmeldung,1,H,74.51,0,0,H,0,CHF,210412     21041205 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,0.4,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.84,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
SteckergehÑuse  1.25 W/B CONN.,1,ST,0.05,0,1,ST,0.05,CHF,CH10 10126295,,Preis aus Einkaufsinfosatz,Zukaufteile,
FÅhrung,1,ST,16.42,0,2,ST,32.84,CHF,CH10 10120284,,Bewertungspreis mit USER-EXIT,Zukaufteile,
PrÑzisionsschalter  MY-COM B100,1,ST,85.56,0,1,ST,85.56,CHF,CH10 10147615,,Bewertungspreis mit USER-EXIT,Zukaufteile,
FÅhrung  kpl. D5,1,ST,104.8,0,2,ST,209.6,CHF,CH10 10066485,,Bewertungspreis mit USER-EXIT,Zukaufteile,
FÅhrungswagen  R0444,1,ST,18.51,0,4,ST,74.04,CHF,CH10 10083221,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Leitungsfilter,1,ST,50.35,0,1,ST,50.35,CHF,CH10 10101106,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Leitungsfilter,1,ST,35.15,0,1,ST,35.15,CHF,CH10 10102734,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Montage Takt 1,1,H,93.63,0,0.85,H,79.59,CHF,210508     21050801 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
O-Ring  ID4.50x1.50 FKM GN,1,ST,0.16,0,4,ST,0.67,CHF,CH10 10142324,,Preis aus Einkaufsinfosatz,Zukaufteile,
Spindel  Movis  C ED616X/V6154X,1,ST,339.3,0,1,ST,339.3,CHF,CH10 10131978,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Druckfeder  0.4x3.2x6.0,1,ST,0.35,0,2,ST,0.7,CHF,CH10 10071598,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlauch  D6/4  Kristall  PUER,1,M,0.62,0,0.3,M,0.19,CHF,CH10 10131220,,Bewertungspreis laut Preissteuerung im Materialstamm,Zukaufteile,
Montage Takt 2,1,H,93.63,0,1.2,H,112.36,CHF,210508     21050801 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Dichtung,1,ST,8.45,0,1,ST,8.45,CHF,CH10 10113727,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,0.75,0,1,ST,0.75,CHF,CH10 10083319,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,0.9,0,1,ST,0.9,CHF,CH10 10083288,,Preis aus Einkaufsinfosatz,Zukaufteile,
Umlenkspiegel,1,ST,60.45,0,1,ST,60.45,CHF,CH10 10060773,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Filter  KP700KG5,1,ST,58.71,0,1,ST,58.71,CHF,CH10 10076144,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Print  sscCutControl,1,ST,39.58,0,1,ST,39.58,CHF,CH10 10137566,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Print  sscMirrorConn,1,ST,40.07,0,1,ST,40.07,CHF,CH10 10109074,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Print  sscMirrorControl,1,ST,59.91,0,1,ST,59.91,CHF,CH10 10142926,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Kabel  FFC 20P L=50mm,1,ST,0.99,0,1,ST,0.99,CHF,CH10 10142375,,Preis aus Einkaufsinfosatz,Zukaufteile,
Kabel  FFC 30P L=100mm,1,ST,1.31,0,1,ST,1.31,CHF,CH10 10142379,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.24,0,1,ST,1.24,CHF,CH10 10126150,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,2.99,0,1,ST,2.99,CHF,CH10 10126149,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.08,0,1,ST,1.08,CHF,CH10 10114213,,Preis aus Einkaufsinfosatz,Zukaufteile,
Dichtung,1,ST,1.05,0,1,ST,1.05,CHF,CH10 10083287,,Preis aus Einkaufsinfosatz,Zukaufteile,
Print  sscControllerConn MBS E5203,1,ST,164.25,0,1,ST,164.25,CHF,CH10 10145233,,Bewertungspreis mit USER-EXIT,Zukaufteile,
"Kabel  Flex L=205mm, 50p",1,ST,3.26,0,1,ST,3.26,CHF,CH10 10066834,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Linse  ZnS-70mm-3mm,1,ST,1191.57,0,1,ST,1191.57,CHF,CH10 10085546,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Montage Takt 3,1,H,93.63,0,1.7,H,159.17,CHF,210508     21050801 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Schublade,1,ST,154.14,5,1,ST,154.14,CHF,CH10 10150286,,,Eigenfertigung,X
,,,,,,,,,,,,,
Montage Schneidkopf SSC Reinraum,1,H,93.63,0,0.2,H,18.73,CHF,210508     21050801 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Fassung,1,ST,43.06,0,1,ST,43.06,CHF,CH10 10132286,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Deckel,1,ST,28.55,0,1,ST,28.55,CHF,CH10 10119889,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Print  sscDrawerOben,1,ST,2.01,0,1,ST,2.01,CHF,CH10 10114117,,Bewertungspreis mit USER-EXIT,Zukaufteile,
"Glas  D=34, T=1.5",1,ST,39.53,0,1,ST,39.53,CHF,CH10 10145866,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Dichtung  36x31x3.6 PE natur,1,ST,7.95,0,1,ST,7.95,CHF,CH10 10179507,,Preis aus Einkaufsinfosatz,Zukaufteile,
Zuschlag MGK,,,0,,,,9.45,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.87,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Schublade,1,ST,142.07,5,1,ST,142.07,CHF,CH10 10150285,,,Eigenfertigung,X
,,,,,,,,,,,,,
